TIME_PERIOD,VICTIMIZATION_PRIMARY,AGE,SEX,RACE,NUMBER_OF_VICTIMS
3/31/2011,HOMICIDE,30-39,M,BLK,1
12/31/2000,HOMICIDE,70-79,M,WHI,2
12/31/1992,HOMICIDE,70-79,M,WHI,1
12/31/2012,BATTERY,20-29,UNKNOWN,UNKNOWN,1
6/30/2003,CRIMINAL SEXUAL ASSAULT,0-19,F,WWH,42
9/30/2008,BATTERY,30-39,M,WBH,1
12/31/2015,ROBBERY,30-39,F,API,9
12/31/2017,ASSAULT,0-19,M,WWH,2
3/31/2002,ASSAULT,30-39,M,API,11
3/31/2010,BATTERY,0-19,M,BLK,38
9/30/1997,HOMICIDE,20-29,F,WWH,1
9/30/2018,ROBBERY,30-39,F,WHI,38
6/30/1995,HOMICIDE,30-39,M,WHI,2
3/31/2022,ROBBERY,40-49,M,I,4
3/31/2010,CRIMINAL SEXUAL ASSAULT,20-29,F,API,2
6/30/2019,ROBBERY,UNKNOWN,F,UNKNOWN,1
3/31/2011,ROBBERY,UNKNOWN,F,WWH,2
3/31/2010,ROBBERY,70-79,M,WHI,4
6/30/2002,ASSAULT,UNKNOWN,M,UNKNOWN,2
9/30/2017,ROBBERY,20-29,M,WWH,1
3/31/2002,ROBBERY,50-59,UNKNOWN,UNKNOWN,1
12/31/2022,ROBBERY,20-29,F,BLK,10
6/30/2018,ASSAULT,20-29,UNKNOWN,WBH,1
6/30/2018,HOMICIDE,50-59,M,BLK,4
9/30/2007,BATTERY,70-79,M,WWH,1
3/31/2008,HOMICIDE,70-79,F,BLK,1
12/31/2003,BATTERY,0-19,M,API,1
9/30/1996,HOMICIDE,50-59,M,WHI,1
3/31/2008,ROBBERY,0-19,F,WWH,1
6/30/1999,HOMICIDE,30-39,M,BLK,12
9/30/2021,BATTERY,50-59,M,I,1
3/31/2021,BATTERY,40-49,F,UNKNOWN,1
6/30/2009,ROBBERY,0-19,F,UNKNOWN,3
9/30/2015,BATTERY,60-69,M,WWH,4
9/30/2015,ASSAULT,30-39,F,WHI,6
9/30/2013,BATTERY,0-19,F,WWH,3
9/30/2011,ROBBERY,20-29,UNKNOWN,BLK,3
9/30/2022,CRIMINAL SEXUAL ASSAULT,60-69,M,WHI,1
3/31/2021,ROBBERY,30-39,F,BLK,74
9/30/2021,ROBBERY,40-49,F,BLK,5
9/30/2003,BATTERY,20-29,F,WBH,2
6/30/2019,ASSAULT,50-59,F,BLK,25
12/31/2002,ASSAULT,0-19,F,WHI,1
